,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,URL,Years of Service,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Teams,AllStars,MVPs
0,Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,"April 16, 1947","University of California, Los Angeles",/players/a/abdulka01.html,19,1560.0,625.0,36.8,10.2,18.1,0.559,0.0,0.0,0.056,10.2,18.1,0.56,0.559,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6,2,19.0,6.0
1,Ray Allen,1997,2014,G,6-5,205.0,"July 20, 1975",University of Connecticut,/players/a/allenra02.html,17,1300.0,1149.0,35.6,6.6,14.6,0.452,2.3,5.7,0.4,4.3,8.9,0.485,0.53,3.4,3.8,0.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,4,10.0,0.0
2,Tiny Archibald,1971,1984,G,6-1,150.0,"September 2, 1948",University of Texas at El Paso,/players/a/architi01.html,13,876.0,268.0,35.6,6.7,14.4,0.467,0.1,0.3,0.224,6.7,14.3,0.469,0.468,5.3,6.6,0.81,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8,6,6.0,0.0
3,Paul Arizin,1951,1962,F-G,6-4,190.0,"April 9, 1928",Villanova University,/players/a/arizipa01.html,11,713.0,0.0,38.4,7.9,18.7,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.7,0.81,0.0,0.0,8.6,2.3,0.0,0.0,0.0,3.9,22.8,1,10.0,0.0
4,Charles Barkley,1985,2000,F,6-6,252.0,"February 20, 1963",Auburn University,/players/b/barklch01.html,15,1073.0,1012.0,36.7,7.9,14.5,0.541,0.5,1.9,0.266,7.4,12.7,0.581,0.558,5.9,8.1,0.735,4.0,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,3,11.0,1.0
5,Don Barksdale,1952,1955,F-C,6-6,200.0,"March 31, 1923","University of California, Los Angeles",/players/b/barksdo01.html,3,262.0,0.0,28.5,3.9,10.5,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.0,0.66,0.0,0.0,8.0,2.1,0.0,0.0,0.0,3.6,11.0,2,1.0,0.0
6,Rick Barry,1966,1980,F,6-7,205.0,"March 28, 1944",University of Miami,/players/b/barryri01.html,14,1020.0,0.0,37.4,9.5,20.9,0.456,0.6,2.0,0.297,9.3,20.3,0.46,0.46,5.6,6.3,0.893,1.3,4.6,6.7,4.9,2.0,0.5,3.0,3.0,24.8,6,12.0,0.0
7,Elgin Baylor,1959,1972,F,6-5,225.0,"September 16, 1934","Albertson College of Idaho, Seattle University",/players/b/bayloel01.html,13,846.0,0.0,40.0,10.3,23.8,0.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,8.7,0.78,0.0,0.0,13.5,4.3,0.0,0.0,0.0,3.1,27.4,2,11.0,0.0
8,Zelmo Beaty,1963,1975,C,6-9,225.0,"October 25, 1939",Prairie View A&M University,/players/b/beatyze01.html,12,889.0,0.0,33.4,6.4,13.0,0.494,0.0,0.0,0.154,6.4,13.0,0.495,0.494,4.2,5.5,0.771,3.3,7.1,10.9,1.5,0.7,0.8,2.3,3.6,17.1,4,5.0,0.0
9,Walt Bellamy,1962,1975,C,6-11,225.0,"July 24, 1939",Indiana University,/players/b/bellawa01.html,13,1043.0,0.0,37.3,7.6,14.7,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,7.8,0.632,3.4,6.2,13.7,2.4,0.7,0.6,0.0,3.4,20.1,7,4.0,0.0
