,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,URL,Years of Service,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Teams,AllStars,MVPs
0,Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,"June 24, 1968",Duke University,/players/a/abdelal01.html,4,256.0,53.0,12.5,2.4,4.8,0.502,0.0,0.0,0.0,2.4,4.8,0.503,0.502,0.9,1.3,0.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7,5,0.0,0.0
1,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,"April 7, 1946",Iowa State University,/players/a/abdulza01.html,9,505.0,0.0,21.8,3.5,8.2,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,0.728,2.4,5.4,8.0,1.2,0.6,1.0,0.9,2.2,9.0,6,0.0,0.0
2,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,"March 9, 1969",Louisiana State University,/players/a/abdulma02.html,10,586.0,336.0,26.7,6.0,13.6,0.442,0.8,2.3,0.354,5.2,11.3,0.46,0.472,1.8,2.0,0.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6,3,0.0,0.0
3,Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,"November 3, 1974","University of Michigan, San Jose State University",/players/a/abdulta01.html,5,236.0,145.0,20.4,3.1,7.3,0.417,0.1,0.3,0.237,3.0,7.0,0.425,0.422,1.6,2.2,0.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8,4,0.0,0.0
4,Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,"December 11, 1976",University of California,/players/a/abdursh01.html,11,830.0,704.0,34.8,6.5,13.9,0.472,0.2,0.6,0.297,6.4,13.2,0.48,0.479,4.8,6.0,0.81,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1,4,1.0,0.0
5,Tom Abernethy,1977,1981,F,6-7,220.0,"May 6, 1954",Indiana University,/players/a/abernto01.html,4,319.0,0.0,17.0,2.3,4.6,0.492,0.0,0.0,0.0,2.3,4.6,0.493,0.492,1.0,1.4,0.747,1.2,2.0,3.2,1.2,0.6,0.2,0.5,1.6,5.6,3,0.0,0.0
6,Forest Able,1957,1957,G,6-3,180.0,"July 27, 1932",Western Kentucky University,/players/a/ablefo01.html,0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0
7,John Abramovic,1947,1948,F,6-3,195.0,"February 9, 1919",Salem International University,/players/a/abramjo01.html,1,56.0,0.0,0.0,3.6,15.3,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.3,0.686,0.0,0.0,0.0,0.7,0.0,0.0,0.0,3.1,9.5,3,0.0,0.0
8,Alex Abrines,2017,2018,G-F,6-6,190.0,"August 1, 1993",0,/players/a/abrinal01.html,1,143.0,14.0,15.3,1.7,4.4,0.394,1.2,3.3,0.38,0.5,1.1,0.433,0.535,0.6,0.7,0.874,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.3,1,0.0,0.0
9,Alex Acker,2006,2009,G,6-5,185.0,"January 21, 1983",Pepperdine University,/players/a/ackeral01.html,3,30.0,0.0,7.8,1.1,3.1,0.37,0.3,0.8,0.32,0.9,2.2,0.388,0.413,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,2.7,2,0.0,0.0
10,Don Ackerman,1954,1954,G,6-0,183.0,"September 4, 1930",Long Island University,/players/a/ackerdo01.html,0,28.0,0.0,7.9,0.5,2.3,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.536,0.0,0.0,0.5,0.8,0.0,0.0,0.0,1.5,1.5,1,0.0,0.0
11,Mark Acres,1988,1993,F-C,6-11,220.0,"November 15, 1962",Oral Roberts University,/players/a/acresma01.html,5,375.0,68.0,16.0,1.4,2.7,0.506,0.0,0.0,0.538,1.4,2.7,0.505,0.509,0.8,1.2,0.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6,4,0.0,0.0
12,Bud Acton,1968,1968,F,6-6,210.0,"January 11, 1942",Hillsdale College,/players/a/actonbu01.html,0,23.0,0.0,8.5,1.3,3.2,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3,0.655,0.0,0.0,2.0,0.5,0.0,0.0,0.0,1.5,3.3,1,0.0,0.0
13,Quincy Acy,2013,2018,F,6-7,240.0,"October 6, 1990",Baylor University,/players/a/acyqu01.html,5,327.0,60.0,16.1,1.8,4.0,0.447,0.6,1.6,0.356,1.2,2.4,0.505,0.517,0.9,1.1,0.761,0.9,2.6,3.5,0.6,0.4,0.4,0.7,2.0,5.0,5,0.0,0.0
14,Alvan Adams,1976,1988,C-F,6-9,210.0,"July 19, 1954",University of Oklahoma,/players/a/adamsal01.html,12,988.0,342.0,27.5,5.8,11.6,0.498,0.0,0.0,0.133,5.8,11.6,0.498,0.498,2.5,3.2,0.788,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,14.1,1,1.0,0.0
15,Don Adams,1971,1977,F,6-6,210.0,"November 27, 1947",Northwestern University,/players/a/adamsdo01.html,6,523.0,0.0,25.8,3.5,8.7,0.402,0.0,0.1,0.0,3.5,8.7,0.402,0.402,1.8,2.5,0.741,1.5,3.3,5.6,1.9,1.1,0.2,2.2,3.3,8.8,6,0.0,0.0
16,George Adams,1973,1975,F-G,6-5,210.0,"May 15, 1949",Gardner-Webb University,/players/a/adamsge01.html,2,215.0,0.0,18.2,3.3,6.7,0.497,0.0,0.1,0.235,3.3,6.6,0.5,0.499,1.0,1.3,0.794,1.5,2.6,4.1,1.5,0.6,0.4,1.4,1.7,7.7,1,0.0,0.0
17,Hassan Adams,2007,2009,G,6-4,220.0,"June 20, 1984",University of Arizona,/players/a/adamsha01.html,2,73.0,8.0,7.5,1.1,2.0,0.534,0.0,0.0,0.0,1.1,2.0,0.537,0.534,0.4,0.6,0.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5,2,0.0,0.0
18,Jordan Adams,2015,2016,G,6-5,209.0,"July 8, 1994","University of California, Los Angeles",/players/a/adamsjo01.html,1,32.0,0.0,8.2,1.2,2.9,0.402,0.3,0.8,0.385,0.8,2.1,0.409,0.457,0.5,0.9,0.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2,1,0.0,0.0
19,Michael Adams,1986,1996,G,5-10,162.0,"January 19, 1963",Boston College,/players/a/adamsmi01.html,10,653.0,510.0,31.3,5.0,12.0,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.849,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7,4,1.0,0.0
20,Steven Adams,2014,2018,C,7-0,255.0,"July 20, 1993",University of Pittsburgh,/players/a/adamsst01.html,4,387.0,323.0,25.5,3.6,6.1,0.586,0.0,0.0,0.0,3.6,6.1,0.587,0.586,1.6,2.8,0.567,3.2,3.8,6.9,0.9,0.8,1.0,1.4,2.7,8.8,1,0.0,0.0
21,Rafael Addison,1987,1997,F-G,6-7,215.0,"July 22, 1964",Syracuse University,/players/a/addisra01.html,10,379.0,54.0,15.0,2.4,5.4,0.449,0.2,0.6,0.282,2.2,4.8,0.472,0.466,0.7,0.9,0.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8,4,0.0,0.0
22,Bam Adebayo,2018,2018,C-F,6-10,243.0,"July 18, 1997",University of Kentucky,/players/a/adebaba01.html,0,69.0,19.0,19.8,2.5,4.9,0.512,0.0,0.1,0.0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,1,0.0,0.0
23,Rick Adelman,1969,1975,G,6-1,175.0,"June 16, 1946",Loyola Marymount University,/players/a/adelmri01.html,6,462.0,0.0,22.6,3.0,7.2,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,0.0,2.1,7.7,5,0.0,0.0
24,Jeff Adrien,2011,2015,F,6-7,245.0,"February 10, 1986",University of Connecticut,/players/a/adrieje01.html,4,153.0,17.0,14.0,1.7,3.6,0.474,0.0,0.0,0.0,1.7,3.6,0.476,0.474,1.2,1.9,0.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6,5,0.0,0.0
25,Arron Afflalo,2008,2018,G,6-5,210.0,"October 15, 1985","University of California, Los Angeles",/players/a/afflaar01.html,10,762.0,537.0,27.3,3.9,8.7,0.45,1.1,2.9,0.386,2.8,5.8,0.481,0.514,1.8,2.2,0.825,0.4,2.4,2.9,1.8,0.4,0.2,1.1,1.9,10.8,6,0.0,0.0
26,Maurice Ager,2007,2011,G,6-5,202.0,"February 9, 1984",Michigan State University,/players/a/agerma01.html,4,82.0,4.0,6.2,0.8,2.3,0.339,0.1,0.5,0.25,0.6,1.8,0.366,0.368,0.4,0.6,0.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1,3,0.0,0.0
27,Mark Aguirre,1982,1994,F-G,6-6,232.0,"December 10, 1959",DePaul University,/players/a/aguirma01.html,12,923.0,639.0,30.0,7.8,16.1,0.484,0.4,1.4,0.312,7.4,14.7,0.5,0.498,4.0,5.4,0.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0,3,3.0,0.0
28,Blake Ahearn,2008,2012,G,6-2,190.0,"May 27, 1984",Missouri State University,/players/a/ahearbl01.html,4,19.0,0.0,11.9,1.1,4.1,0.273,0.7,2.5,0.298,0.4,1.6,0.233,0.364,1.7,1.7,0.97,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,4.6,3,0.0,0.0
